node,acc1,acc2,timestamp
sb4,1.6445410251617432,1.4961470365524292,21:39:20
sb4,1.6411077976226807,1.4950026273727417,21:39:20
sb4,1.6407263278961182,1.4953840970993042,21:39:20
sb4,1.6388189792633057,1.4953840970993042,21:39:20
sb4,1.6430151462554932,1.4950026273727417,21:39:20
sb4,1.6453039646148682,1.4950026273727417,21:39:20
sb4,1.6456855535507202,1.4946211576461792,21:39:20
sb4,1.6468299627304077,1.4950026273727417,21:39:20
sb4,1.6453039646148682,1.4950026273727417,21:39:20
sb4,1.6483558416366577,1.4950026273727417,21:39:20
sb4,1.6491187810897827,1.4934767484664917,21:39:20
sb4,1.6456855535507202,1.4942396879196167,21:39:20
sb4,1.6407263278961182,1.4950026273727417,21:39:20
sb4,1.6388189792633057,1.4946211576461792,21:39:20
sb4,1.6418707370758057,1.4934767484664917,21:39:20
sb4,1.6453039646148682,1.4938582181930542,21:39:20
sb4,1.6437780857086182,1.4946211576461792,21:39:20
sb4,1.6445410251617432,1.4950026273727417,21:39:20
sb4,1.6430151462554932,1.4946211576461792,21:39:20
sb4,1.6464484930038452,1.4942396879196167,21:39:20
sb4,1.6495002508163452,1.4942396879196167,21:39:20
sb4,1.6483558416366577,1.4942396879196167,21:39:20
sb4,1.6468299627304077,1.4934767484664917,21:39:20
sb4,1.6426336765289307,1.4938582181930542,21:39:20
sb4,1.6411077976226807,1.4934767484664917,21:39:20
sb4,1.6433966159820557,1.4938582181930542,21:39:20
sb4,1.6414892673492432,1.4938582181930542,21:39:20
sb4,1.6407263278961182,1.4938582181930542,21:39:20
sb4,1.6430151462554932,1.4938582181930542,21:39:20
sb4,1.6449224948883057,1.4942396879196167,21:39:20
sb4,1.6472114324569702,1.4938582181930542,21:39:20
sb4,1.6483558416366577,1.4942396879196167,21:39:20
sb4,1.6464484930038452,1.4934767484664917,21:39:20
sb4,1.6441595554351807,1.4930952787399292,21:39:20
sb4,1.6456855535507202,1.4934767484664917,21:39:20
sb4,1.6453039646148682,1.4934767484664917,21:39:20
sb4,1.6430151462554932,1.4934767484664917,21:39:20
sb4,1.6403448581695557,1.4934767484664917,21:39:20
sb4,1.6395819187164307,1.4942396879196167,21:39:20
sb4,1.6418707370758057,1.4938582181930542,21:39:20
sb4,1.6456855535507202,1.4934767484664917,21:39:20
sb4,1.6468299627304077,1.4938582181930542,21:39:20
sb4,1.6464484930038452,1.4930952787399292,21:39:20
sb4,1.6453039646148682,1.4927138090133667,21:39:20
sb4,1.6456855535507202,1.4930952787399292,21:39:20
sb4,1.6460670232772827,1.4934767484664917,21:39:20
sb4,1.6453039646148682,1.4934767484664917,21:39:20
sb4,1.6441595554351807,1.4942396879196167,21:39:20
sb4,1.6407263278961182,1.4946211576461792,21:39:20
sb4,1.6411077976226807,1.4946211576461792,21:39:20
sb4,1.6414892673492432,1.4953840970993042,21:39:20
sb4,1.6449224948883057,1.4957655668258667,21:39:20
sb4,1.6456855535507202,1.4950026273727417,21:39:20
sb4,1.6453039646148682,1.4946211576461792,21:39:20
sb4,1.6456855535507202,1.4946211576461792,21:39:20
sb4,1.6460670232772827,1.4953840970993042,21:39:20
sb4,1.6464484930038452,1.4946211576461792,21:39:20
sb4,1.6491187810897827,1.4942396879196167,21:39:20
sb4,1.6430151462554932,1.4942396879196167,21:39:20
sb4,1.6411077976226807,1.4946211576461792,21:39:20
sb4,1.6407263278961182,1.4946211576461792,21:39:20
sb4,1.6426336765289307,1.4942396879196167,21:39:20
sb4,1.6441595554351807,1.4934767484664917,21:39:20
sb4,1.6456855535507202,1.4938582181930542,21:39:20
sb4,1.6437780857086182,1.4938582181930542,21:39:20
sb4,1.6464484930038452,1.4942396879196167,21:39:20
sb4,1.6456855535507202,1.4938582181930542,21:39:20
sb4,1.6464484930038452,1.4930952787399292,21:39:20
sb4,1.6487373113632202,1.4934767484664917,21:39:20
sb4,1.6411077976226807,1.4934767484664917,21:39:20
sb4,1.6445410251617432,1.4938582181930542,21:39:20
sb4,1.6414892673492432,1.4934767484664917,21:39:20
sb4,1.6437780857086182,1.4938582181930542,21:39:20
sb4,1.6426336765289307,1.4946211576461792,21:39:20
sb4,1.6437780857086182,1.4946211576461792,21:39:20
sb4,1.6449224948883057,1.4953840970993042,21:39:20
sb4,1.6453039646148682,1.4953840970993042,21:39:20
sb4,1.6460670232772827,1.4961470365524292,21:39:20
sb4,1.6487373113632202,1.4961470365524292,21:39:20
sb4,1.6445410251617432,1.4953840970993042,21:39:20
sb4,1.6449224948883057,1.4953840970993042,21:39:20
sb4,1.6437780857086182,1.4965285062789917,21:39:20
sb4,1.6433966159820557,1.4957655668258667,21:39:20
sb4,1.6437780857086182,1.4957655668258667,21:39:20
sb4,1.6403448581695557,1.4957655668258667,21:39:20
sb4,1.6441595554351807,1.4957655668258667,21:39:20
sb4,1.6426336765289307,1.4953840970993042,21:39:20
sb4,1.6456855535507202,1.4961470365524292,21:39:20
sb4,1.6472114324569702,1.4961470365524292,21:39:20
sb4,1.6449224948883057,1.4972914457321167,21:39:20
sb4,1.6460670232772827,1.4961470365524292,21:39:20
sb4,1.6445410251617432,1.4965285062789917,21:39:20
sb4,1.6441595554351807,1.4972914457321167,21:39:20
sb4,1.6456855535507202,1.4969099760055542,21:39:20
sb4,1.6418707370758057,1.4976729154586792,21:39:20
sb4,1.6441595554351807,1.4969099760055542,21:39:20
sb4,1.6437780857086182,1.4972914457321167,21:39:20
sb4,1.6403448581695557,1.4972914457321167,21:39:20
sb4,1.6464484930038452,1.4972914457321167,21:39:20
sb4,1.6445410251617432,1.4972914457321167,21:39:20
