node,acc1,acc2,acc3,ane1,ane2,ane3,timestamp
sb2,0.016556039452552795,0.016479743644595146,0.016556039452552795,0.0,0.0,0.0,21:44:44
sb2,0.016556039452552795,0.016479743644595146,0.016517890617251396,0.0,0.0,0.0,21:44:44
sb2,0.016517890617251396,0.016479743644595146,0.016517890617251396,0.0,0.0,0.0,21:44:44
sb2,0.016517890617251396,0.016441596671938896,0.016556039452552795,0.0,0.0,0.0,21:44:44
sb2,0.016556039452552795,0.016479743644595146,0.016517890617251396,0.0,0.0,0.0,21:44:44
sb2,0.016517890617251396,0.016479743644595146,0.016517890617251396,0.0,0.0,0.0,21:44:44
sb2,0.016556039452552795,0.016441596671938896,0.016517890617251396,0.0,0.0,0.0,21:44:44
sb2,0.016517890617251396,0.016441596671938896,0.016556039452552795,0.0,0.0,0.0,21:44:44
sb2,0.016556039452552795,0.016479743644595146,0.016556039452552795,0.0,0.0,0.0,21:44:44
sb2,0.016556039452552795,0.016441596671938896,0.016517890617251396,0.0,0.0,0.0,21:44:44
sb2,0.016479743644595146,0.016441596671938896,0.016517890617251396,0.0,0.0,0.0,21:44:44
sb2,0.016517890617251396,0.016479743644595146,0.016517890617251396,0.0,0.0,0.0,21:44:44
sb2,0.016517890617251396,0.016479743644595146,0.016517890617251396,0.0,0.0,0.0,21:44:44
sb2,0.016479743644595146,0.016441596671938896,0.016556039452552795,0.0,0.0,0.0,21:44:44
sb2,0.016517890617251396,0.016441596671938896,0.016517890617251396,0.0,0.0,0.0,21:44:44
sb2,0.016517890617251396,0.016517890617251396,0.016556039452552795,0.0,0.0,0.0,21:44:44
sb2,0.016517890617251396,0.016479743644595146,0.016556039452552795,0.0,0.0,0.0,21:44:44
sb2,0.016517890617251396,0.016441596671938896,0.016556039452552795,0.0,0.0,0.0,21:44:44
sb2,0.016556039452552795,0.016479743644595146,0.016594186425209045,0.0,0.0,0.0,21:44:44
sb2,0.016556039452552795,0.016479743644595146,0.016556039452552795,0.0,0.0,0.0,21:44:44
sb2,0.016517890617251396,0.016479743644595146,0.016556039452552795,0.0,0.0,0.0,21:44:44
sb2,0.016556039452552795,0.016479743644595146,0.016556039452552795,0.0,0.0,0.0,21:44:44
sb2,0.016556039452552795,0.016441596671938896,0.016517890617251396,0.0,0.0,0.0,21:44:44
